Area,Year,Savanna fires,Forest fires,Food Transport,Forestland,Net Forest conversion,Fires in organic soils,Fires in humid tropical forests,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature °C
Japan,1990,1.0504,13.4631,22759.4621,-82832.9333,1990.2667,0,0,28217054,96298507,60852276,62834045,163117.6023,1.2209166666666667
Japan,1991,1.0504,13.4631,23839.8163,-82832.9333,1990.2667,0,0,28145660,96794355,61022120,63051872,172960.68579999995,0.6863333333333334
Japan,1992,1.0504,13.4631,24320.611,-82832.9333,1990.2667,0,0,28064470,97277006,61182546,63262147,178733.73309999998,0.3235
Japan,1993,1.0504,13.4631,24858.4145,-82832.9333,1990.2667,0,0,27977741,97739783,61323897,63455679,188490.38560000004,-0.0295
Japan,1994,1.0504,13.4631,26166.2611,-82832.9333,1990.2667,0,0,27883775,98179399,61466008,63653260,195041.50289999996,0.99525
Japan,1995,1.0504,13.4631,26947.8856,-82832.9333,1990.2667,0,0,27782288,98593178,61593428,63840541,221170.5973,0.2233333333333333
Japan,1996,0.2563,16.4181,27586.4349,-82832.9333,1990.2667,0,0,27679923,98974098,61708339,64017884,216002.0823,-0.04525
Japan,1997,0.1948,12.3657,27724.6114,-82832.9333,1990.2667,0,0,27573758,99328870,61827494,64200490,215213.04009999995,0.5207499999999999
Japan,1998,0.5525,12.5319,27715.8259,-82832.9333,1990.2667,0,0,27462239,99665026,61933059,64375331,199231.77750000003,1.1935833333333334
Japan,1999,0.2462,14.6132,27907.0464,-82832.9333,1990.2667,0,0,27347384,99988474,62019868,64535196,197725.5738,0.8643333333333333
Japan,2000,0.1825,16.6623,27842.1728,-82832.9333,1990.2667,0,0,27230218,100303716,62107541,64696321,199967.1401,0.6505
Japan,2001,0.9218,8.308,28093.5464,-103297.7,786.5,0,0,25557575,102165938,62201039,64864692,178059.81519999998,0.3436666666666666
Japan,2002,1.6541,12.4628,27562.2662,-103297.7,786.5,0,0,23473865,104428752,62280969,65020781,175179.79210000002,0.6581666666666667
Japan,2003,1.2306,10.2566,27312.7563,-103297.7,786.5,0,0,21520729,106547065,62341923,65160429,179956.1491,0.42275
Japan,2004,0.537,5.7136,27412.2478,-103297.7,786.5,0,0,19693113,108520519,62386529,65284760,183006.4209,1.1720833333333334
Japan,2005,0.8125,11.9453,27089.5618,-103297.7,786.5,0,0,17995058,110340709,62410520,65387853,187621.7679,0.42933333333333334
Japan,2006,0.7958,9.0876,26630.4729,-103297.7,786.5,0,0,16545175,111887819,62425780,65476387,188869.4684,0.6501666666666667
Japan,2007,1.7202,18.6936,25877.3575,-103297.7,786.5,0,0,15233582,113271669,62445692,65560734,195401.23469999997,1.0033333333333332
Japan,2008,1.1804,24.1559,24960.1908,-103297.7,786.5,0,0,14008192,114542316,62451645,65625989,187190.20400000003,0.6845
Japan,2009,1.7919,7.4002,24369.8905,-103297.7,786.5,0,0,12870195,115696464,62443939,65673103,180798.6985,0.735
Japan,2010,1.1529,8.4382,24648.244,-103297.7,786.5,0,0,11810839,116741034,62415026,65690405,188539.56980000003,0.9735833333333334
Japan,2011,1.4992,14.1508,24053.7529,-57393.6,3581.6,0,0,11476384,117029015,62348448,65658808.00000001,249730.90999999995,0.4765
Japan,2012,0.2056,5.0635,23749.1924,-57393.6,3581.6,0,0,11368012,117058372,62258404,65595282.99999999,263477.11319999996,0.3465
Japan,2013,1.6848,7.1418,23440.5266,-57393.6,3581.6,0,0,11257825,117055095,62159989,65518935,272980.3014,0.7265
Japan,2014,2.6445,38.0401,22787.0026,-57393.6,3581.6,0,0,11145296,117017577,62049024,65427711,278204.14739999996,0.46725
Japan,2015,1.2599,11.8139,22788.2795,-57393.6,3581.6,0,0,11030530,116944428,61927410,65323523,284176.6585,1.07625
Japan,2016,0.4639,4.9336,22539.0705,-37836.3333,1720.4,0,0,10913416,116835097,61790329,65203529,310816.7874,1.2679166666666666
Japan,2017,0.8166,12.2035,22352.0103,-37836.3333,1720.4,0,0,10791174,116693276,61614482,65047990,315706.4385,0.6119166666666667
Japan,2018,1.6984,21.8108,22083.7444,-37836.3333,1720.4,0,0,10663807,116521525,61400411,64855455,316432.43850000005,1.0895
Japan,2019,1.881,19.9939,21634.0778,-37836.3333,1720.4,0,0,10531932,116322813,61158671,64633006,319150.8913,1.2975
Japan,2020,1.2649,19.6038,20014.77,-37836.3333,1720.4,0,0,10395975,116099672,60881605,64363155,320139.64729999995,1.32475
